id,Name,description,Slug,color,FrenchName,FrenchDescription,area,ColonialEntity
e81aeb84fd3d7591319c66a3c28dafc4,Treaty of Medicine Lodge (1865),https://native-land.ca/maps/treaties/treaty-of-medicine-lodge-1865/,medicine-lodge,#090077,Treaty of Medicine Lodge (1865),https://native-land.ca/maps/treaties/treaty-of-medicine-lodge-1865/,41781,United States of America
e840a8728f1efeab7a8ba11709cd9a14,Cession 576,https://native-land.ca/maps/treaties/cession-576/,cession-576,#0C1199,Cession 576,https://native-land.ca/maps/treaties/cession-576/,10440,United States of America
ea3fdaf52c7006bd1141fdf8bd61cdcf,Cession 60,https://native-land.ca/maps/treaties/cession-60/,cession-60,#BC1144,Cession 60,https://native-land.ca/maps/treaties/cession-60/,8591,United States of America
ea4b2eec1ad5e5a3c570a27307c7ce6d,Cession 137,https://native-land.ca/maps/treaties/cession-137/,cession-137,#F52299,Cession 137,https://native-land.ca/maps/treaties/cession-137/,20,United States of America
ea5951dd8cf848e2bc06dd27ec3ec14a,Executive Order for Cheyenne and Arapaho (1895),https://native-land.ca/maps/treaties/executive-order-for-cheyenne-and-arapaho-1895/,cheyenne-arapaho-exec-order,#0C1111,Executive Order for Cheyenne and Arapaho (1895),https://native-land.ca/maps/treaties/executive-order-for-cheyenne-and-arapaho-1895/,16565,United States of America
ea6873a6646b51460d8c0677f52d334c,Cession 402,https://native-land.ca/maps/treaties/cession-402/,cession-402,#220066,Cession 402,https://native-land.ca/maps/treaties/cession-402/,14,United States of America
eb088bc8f87f0f8d3d21d9033989df7d,Cession 123,https://native-land.ca/maps/treaties/cession-123/,cession-123,#CE2211,Cession 123,https://native-land.ca/maps/treaties/cession-123/,188578,United States of America
eb2704998b280291f5b22d50fb3e6994,Cession 663,https://native-land.ca/maps/treaties/cession-663/,cession-663,#411111,Cession 663,https://native-land.ca/maps/treaties/cession-663/,399,United States of America
eb668dd05dcdef0014089eb6682f03f3,Cession 3,https://native-land.ca/maps/treaties/cession-3-2/,cession-3,#3122AA,Cession 3,https://native-land.ca/maps/treaties/cession-3-2/,1813,United States of America
ebae437ac9e6443291cef50b8c20cef8,Cession 415,https://native-land.ca/maps/treaties/cession-415/,cession-415,#C11155,Cession 415,https://native-land.ca/maps/treaties/cession-415/,264,United States of America
ebcf848b2797f230bc48a58c6c87a357,Cession 143,https://native-land.ca/maps/treaties/cession-143/,cession-143,#1D1111,Cession 143,https://native-land.ca/maps/treaties/cession-143/,16600,United States of America
ec065b06a6f39d1433ec2a2deb27fa6b,Cession 564,https://native-land.ca/maps/treaties/cession-564/,cession-564,#1522FF,Cession 564,https://native-land.ca/maps/treaties/cession-564/,6,United States of America
ec2f36128af4bde895862c4f7fb919d3,Cession 70,https://native-land.ca/maps/treaties/cession-70-2/,cession-70,#1911FF,Cession 70,https://native-land.ca/maps/treaties/cession-70-2/,132,United States of America
eca1feb0047073f92a6196d3a549689f,"Treaty with the Lower Creeks (Treaty of Savannah), 1733",https://native-land.ca/maps/treaties/treaty-with-the-lower-creeks-treaty-of-savannah-1733/,treaty-with-the-lower-creeks-treaty-of-savannah-1733,#421111,"Treaty with the Lower Creeks (Treaty of Savannah), 1733",https://native-land.ca/maps/treaties/treaty-with-the-lower-creeks-treaty-of-savannah-1733/,1182,United States of America
